Product Name,Short Description,Description,Category,Subcategory,Brand,SKU,Barcode,Price (INR),Compare At Price (MRP),Cost Price,GST Rate (%),HSN Code,Stock,Weight (grams),Unit,Shipping Weight (g),Min Order Qty,Max Order Qty,Country of Origin,Shelf Life,Best Before,Ingredients,Allergens,Certifications,Is Organic,Is Vegan,Is Gluten Free,Manufacturer,Tags,Product Type,Meta Title,Meta Description,Video URL,Visibility,Image URLs,Happilo Handle
Happilo 100% Natural Premium Californian Almonds 200g,"Premium raw California almonds, non-GMO, no preservatives, gluten-free","Happilo's Premium Californian Almonds are handpicked from the finest almond orchards in California. Rich in protein, healthy fats, Vitamin E, magnesium and fibre. 100% natural with no added preservatives. Ideal as a daily healthy snack.",Nuts,Almonds,Happilo,HAP-ALM-200,,499,649,380,5,0802,100,200,g,220,1,10,India,12 months,,Almonds,Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"almonds,badam,nuts,dry fruits,california,healthy snacks",nuts,Buy Happilo Premium Californian Almonds 200g Online,"Premium quality California almonds, non-GMO, gluten-free. Rich in Vitamin E and protein.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917941/lotusmart/products/happilo/hap-alm-200.jpg,natural-premium-california-almonds
Happilo 100% Natural Premium Californian Almonds 500g,"Premium raw California almonds 500g value pack, non-GMO, no preservatives","Happilo's Premium Californian Almonds 500g value pack. Handpicked from California's finest orchards. Rich in protein, healthy fats, Vitamin E and fibre. 100% natural, no preservatives.",Nuts,Almonds,Happilo,HAP-ALM-500,,999,1299,750,5,0802,100,500,g,520,1,10,India,12 months,,Almonds,Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"almonds,badam,nuts,500g,value pack,california",nuts,Buy Happilo Californian Almonds 500g - Value Pack,"Best quality California almonds 500g. Non-GMO, gluten-free, no preservatives.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917943/lotusmart/products/happilo/hap-alm-500.jpg,natural-premium-california-almonds
Happilo 100% Natural Premium Californian Almonds 1kg,"1kg bulk pack of premium raw California almonds, non-GMO, no preservatives","Happilo's Premium Californian Almonds 1kg bulk pack. Perfect for families and regular snackers. Handpicked from California. Rich in protein, Vitamin E, magnesium and healthy fats.",Nuts,Almonds,Happilo,HAP-ALM-1KG,,1799,2299,1350,5,0802,50,1000,g,1020,1,5,India,12 months,,Almonds,Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"almonds,badam,1kg,bulk,california,nuts",nuts,Buy Happilo Californian Almonds 1kg Bulk Pack,"1kg premium California almonds. Non-GMO, gluten-free, no preservatives. Best badam price in India.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917946/lotusmart/products/happilo/hap-alm-1kg.jpg,natural-premium-california-almonds
Happilo 100% Natural Jumbo Californian Almonds 200g,"Extra-large jumbo California almonds, premium quality, non-GMO","Happilo's Jumbo Californian Almonds are extra-large, premium almonds sourced from the finest California orchards. Their size makes them a standout snack — crunchy, nutritious and satisfying.",Nuts,Almonds,Happilo,HAP-ALM-JMB-200,,549,699,420,5,0802,100,200,g,220,1,10,India,12 months,,Almonds,Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"jumbo almonds,badam,premium,california,nuts",nuts,Buy Happilo Jumbo Californian Almonds 200g,"Extra-large premium jumbo California almonds. Non-GMO, gluten-free.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917949/lotusmart/products/happilo/hap-alm-jmb-200.jpg,happilo-100-natural-popular-californian-almonds
Happilo Roasted & Lightly Salted Premium Californian Almonds 200g,"Dry roasted, lightly salted California almonds with Himalayan pink salt","Happilo's Roasted & Lightly Salted Californian Almonds are dry roasted without oil and lightly seasoned with Himalayan pink salt. No preservatives. Crunchy, flavourful and healthy.",Nuts,Almonds,Happilo,HAP-ALM-RST-200,,499,649,380,5,0802,100,200,g,220,1,10,India,12 months,,"Almonds, Himalayan Pink Salt",Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"roasted almonds,salted almonds,badam,healthy snack",nuts,Buy Happilo Roasted Salted Californian Almonds 200g,"Dry roasted lightly salted California almonds with Himalayan pink salt. No oil, no preservatives.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917951/lotusmart/products/happilo/hap-alm-rst-200.jpg,happilo-premium-californian-almonds-roasted-salted
Happilo Roasted & Lightly Salted Premium Californian Almonds 500g,"Dry roasted, lightly salted California almonds 500g value pack","Happilo's Roasted & Lightly Salted Californian Almonds 500g. Dry roasted without oil with Himalayan pink salt. No preservatives, gluten-free.",Nuts,Almonds,Happilo,HAP-ALM-RST-500,,999,1299,750,5,0802,100,500,g,520,1,10,India,12 months,,"Almonds, Himalayan Pink Salt",Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"roasted almonds,salted,500g,value pack,nuts",nuts,Buy Happilo Roasted Salted Almonds 500g Value Pack,"500g dry roasted lightly salted California almonds. Non-GMO, no preservatives.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917953/lotusmart/products/happilo/hap-alm-rst-500.jpg,happilo-premium-californian-almonds-roasted-salted
Happilo Premium Whole Cashew Nuts 200g,"Premium whole cashews, creamy and naturally delicious, gluten-free","Happilo's Premium Natural Whole Cashews are top-quality cashews sourced from trusted farms. They are whole, smooth and naturally delicious, offering a mild, creamy flavour. High in minerals, healthy fats and plant protein.",Nuts,Cashews,Happilo,HAP-CSH-200,,336,395,255,5,0801,100,200,g,220,1,10,India,12 months,,Cashews,Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"cashews,kaju,nuts,whole cashews,dry fruits",nuts,Buy Happilo Premium Whole Cashew Nuts 200g,"Premium whole cashews, naturally delicious, gluten-free, no preservatives.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917956/lotusmart/products/happilo/hap-csh-200.jpg,premium-whole-cashew-nuts-online
Happilo Premium Whole Cashew Nuts 500g,"Premium whole cashews 500g value pack, creamy and naturally delicious","Happilo's Premium Natural Whole Cashews 500g. Top-quality whole cashews with mild, creamy flavour. High in minerals, healthy fats and plant protein. Gluten-free.",Nuts,Cashews,Happilo,HAP-CSH-500,,750,995,570,5,0801,100,500,g,520,1,10,India,12 months,,Cashews,Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"cashews,kaju,500g,value pack,nuts",nuts,Buy Happilo Premium Whole Cashews 500g Value Pack,"500g premium whole cashews. Gluten-free, non-GMO, no preservatives.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917958/lotusmart/products/happilo/hap-csh-500.jpg,premium-whole-cashew-nuts-online
Happilo Premium Whole Cashew Nuts 1kg,"1kg bulk pack premium whole cashews, creamy, gluten-free","Happilo's Premium Whole Cashews 1kg bulk pack. Perfect for families and cooking. Top-quality cashews with mild, creamy flavour. Gluten-free, no preservatives.",Nuts,Cashews,Happilo,HAP-CSH-1KG,,1499,1990,1140,5,0801,50,1000,g,1020,1,5,India,12 months,,Cashews,Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"cashews,kaju,1kg,bulk,nuts,dry fruits",nuts,Buy Happilo Premium Whole Cashew Nuts 1kg Bulk Pack,"1kg premium whole cashews. Best kaju price in India. Gluten-free, non-GMO.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917961/lotusmart/products/happilo/hap-csh-1kg.jpg,premium-whole-cashew-nuts-online
Happilo Roasted & Salted Premium Cashew Nuts 200g,"Freshly oven roasted and lightly salted cashews, no oil, no preservatives","Happilo's Roasted & Salted Cashews are oven roasted without oil and lightly salted. Crispy, flavourful and nutritious. No preservatives, gluten-free.",Nuts,Cashews,Happilo,HAP-CSH-RST-200,,399,499,305,5,0801,100,200,g,220,1,10,India,12 months,,"Cashews, Salt",Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"roasted cashews,salted kaju,healthy snack,nuts",nuts,Buy Happilo Roasted Salted Cashew Nuts 200g,"Freshly oven roasted salted cashews. No oil, no preservatives, gluten-free.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917964/lotusmart/products/happilo/hap-csh-rst-200.jpg,happilo-rosted-salted-pre-cashew-nuts
